ID,Title,Link,Date,done,propose dataset,tool-use llm-agent,safety/security,out of scope,why out of scope,domain,domain details,policy,policy example,policy categories
254,"Design, Results and Industry Implications of the World's First Insurance Large Language Model Evaluation Benchmark",https://arxiv.org/pdf/2511.07794v1,2025-11-11 03:19:35+00:00,TRUE,Yes,yes,no,,,,,,,
255,EVALOOOP: A Self-Consistency-Centered Framework for Assessing Large Language Model Robustness in Programming,https://arxiv.org/pdf/2505.12185v5,2025-05-18 01:02:33+00:00,TRUE,Yes,no,,,,,,,,
256,TD-EVAL: Revisiting Task-Oriented Dialogue Evaluation by Combining Turn-Level Precision with Dialogue-Level Comparisons,https://arxiv.org/pdf/2504.19982v2,2025-04-28 16:57:17+00:00,TRUE,Yes,yes,yes,yes,"This paper propose a new way to evaluate safety during execution, but it reuse tau-bench's setting and popicy, thus are considered a duplicated entry",,,,,
257,ElectriQ: A Benchmark for Assessing the Response Capability of Large Language Models in Power Marketing,https://arxiv.org/pdf/2507.22911v2,2025-07-19 02:28:51+00:00,TRUE,Yes,no,,,,,,,,
258,MedFact: Benchmarking the Fact-Checking Capabilities of Large Language Models on Chinese Medical Texts,https://arxiv.org/pdf/2509.12440v2,2025-09-15 20:46:21+00:00,TRUE,Yes,no,,,,,,,,
259,Hiding in Plain Sight: Reframing Hardware Trojan Benchmarking as a Hide&Seek Modification,https://arxiv.org/pdf/2410.15550v1,2024-10-21 00:45:20+00:00,TRUE,Yes,no,,,,,,,,
260,Towards Comprehensive Stage-wise Benchmarking of Large Language Models in Fact-Checking,https://arxiv.org/pdf/2601.02669v1,2026-01-06 02:51:56+00:00,TRUE,Yes,no,,,,,,,,
261,Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,https://arxiv.org/pdf/2310.05746v4,2023-10-09 14:22:09+00:00,TRUE,Yes,no,,,,,,,,
262,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,https://arxiv.org/pdf/2304.13023v3,2023-04-25 17:51:59+00:00,TRUE,Yes,no,,,,,,,,
263,LiveMedBench: A Contamination-Free Medical Benchmark for LLMs with Automated Rubric Evaluation,https://arxiv.org/pdf/2602.10367v1,2026-02-10 23:38:25+00:00,TRUE,Yes,no,,,,,,,,
264,Beyond BeautifulSoup: Benchmarking LLM-Powered Web Scraping for Everyday Users,https://arxiv.org/pdf/2601.06301v1,2026-01-09 20:34:28+00:00,TRUE,Yes,yes,no,,,,,,,
265,EvalSVA: Multi-Agent Evaluators for Next-Gen Software Vulnerability Assessment,https://arxiv.org/pdf/2501.14737v1,2024-12-11 08:00:50+00:00,TRUE,Yes,no,,,,,,,,
266,LaoBench: A Large-Scale Multidimensional Lao Benchmark for Large Language Models,https://arxiv.org/pdf/2511.11334v2,2025-11-14 14:13:07+00:00,TRUE,Yes,no,,,,,,,,
267,PPTC-R benchmark: Towards Evaluating the Robustness of Large Language Models for PowerPoint Task Completion,https://arxiv.org/pdf/2403.03788v1,2024-03-06 15:33:32+00:00,TRUE,Yes,yes,no,,,,,,,
268,Benchmarking LLM-Assisted Blue Teaming via Standardized Threat Hunting,https://arxiv.org/pdf/2509.23571v2,2025-09-28 02:08:17+00:00,TRUE,Yes,no,,,,,,,,
269,Intelligent System for Automated Molecular Patent Infringement Assessment,https://arxiv.org/pdf/2412.07819v2,2024-12-10 12:14:38+00:00,TRUE,Yes,yes,no,,,,,,,
270,What Would an LLM Do? Evaluating Large Language Models for Policymaking to Alleviate Homelessness,https://arxiv.org/pdf/2509.03827v2,2025-09-04 02:28:58+00:00,TRUE,Yes,no,,,,,,,,
271,HumanAgencyBench: Scalable Evaluation of Human Agency Support in AI Assistants,https://arxiv.org/pdf/2509.08494v1,2025-09-10 11:10:10+00:00,TRUE,Yes,no,,,,,,,,
272,Investigating Pedagogical Teacher and Student LLM Agents: Genetic Adaptation Meets Retrieval Augmented Generation Across Learning Style,https://arxiv.org/pdf/2505.19173v1,2025-05-25 14:45:35+00:00,TRUE,Yes,yes,no,,,,,,,
273,Who is ChatGPT? Benchmarking LLMs' Psychological Portrayal Using PsychoBench,https://arxiv.org/pdf/2310.01386v2,2023-10-02 17:46:09+00:00,TRUE,Yes,no,,,,,,,,
274,Multi-OphthaLingua: A Multilingual Benchmark for Assessing and Debiasing LLM Ophthalmological QA in LMICs,https://arxiv.org/pdf/2412.14304v1,2024-12-18 20:18:03+00:00,TRUE,Yes,no,,,,,,,,
275,FeatBench: Towards More Realistic Evaluation of Feature-level Code Generation,https://arxiv.org/pdf/2509.22237v2,2025-09-26 11:47:50+00:00,TRUE,Yes,yes,no,,,,,,,
276,Better to Ask in English: Cross-Lingual Evaluation of Large Language Models for Healthcare Queries,https://arxiv.org/pdf/2310.13132v2,2023-10-19 20:02:40+00:00,TRUE,Yes,no,,,,,,,,
277,"OffTopicEval: When Large Language Models Enter the Wrong Chat, Almost Always!",https://arxiv.org/pdf/2509.26495v3,2025-09-30 16:39:17+00:00,TRUE,Yes,no,,,,,,,,
278,LiveTradeBench: Seeking Real-World Alpha with Large Language Models,https://arxiv.org/pdf/2511.03628v1,2025-11-05 16:47:26+00:00,TRUE,Yes,yes,no,,,,,,,
279,"Towards Automatic Evaluation for LLMs' Clinical Capabilities: Metric, Data, and Algorithm",https://arxiv.org/pdf/2403.16446v1,2024-03-25 06:17:54+00:00,TRUE,Yes,no,,,,,,,,
280,Time Travel is Cheating: Going Live with DeepFund for Real-Time Fund Investment Benchmarking,https://arxiv.org/pdf/2505.11065v2,2025-05-16 10:00:56+00:00,TRUE,Yes,no,,,,,,,,
281,Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems,https://arxiv.org/pdf/2310.05280v5,2023-10-08 21:03:18+00:00,TRUE,Yes,no,,,,,,,,
282,Explanations are a Means to an End: Decision Theoretic Explanation Evaluation,https://arxiv.org/pdf/2506.22740v3,2025-06-28 03:04:21+00:00,TRUE,Yes,no,,,,,,,,
283,Evaluating Small Language Models for Agentic On-Farm Decision Support Systems,https://arxiv.org/pdf/2512.14043v1,2025-12-16 03:18:34+00:00,TRUE,Yes,yes,no,,,,,,,
284,Informed AI Regulation: Comparing the Ethical Frameworks of Leading LLM Chatbots Using an Ethics-Based Audit to Assess Moral Reasoning and Normative Values,https://arxiv.org/pdf/2402.01651v1,2024-01-09 14:57:30+00:00,TRUE,Yes,no,,,,,,,,
285,Beyond Single-Value Metrics: Evaluating and Enhancing LLM Unlearning with Cognitive Diagnosis,https://arxiv.org/pdf/2502.13996v1,2025-02-19 06:56:59+00:00,TRUE,Yes,no,,,,,,,,
286,Ollabench: Evaluating LLMs' Reasoning for Human-centric Interdependent Cybersecurity,https://arxiv.org/pdf/2406.06863v1,2024-06-11 00:35:39+00:00,TRUE,Yes,no,,,,,,,,
287,Bridging the Knowledge-Action Gap by Evaluating LLMs in Dynamic Dental Clinical Scenarios,https://arxiv.org/pdf/2601.12974v1,2026-01-19 11:36:39+00:00,TRUE,Yes,no,,,,,,,,
288,Auto-Evaluation: A Critical Measure in Driving Improvements in Quality and Safety of AI-Generated Lesson Resources,https://arxiv.org/pdf/2502.10410v1,2025-01-23 11:35:23+00:00,TRUE,Yes,no,,,,,,,,
289,SOPRAG: Multi-view Graph Experts Retrieval for Industrial Standard Operating Procedures,https://arxiv.org/pdf/2602.01858v1,2026-02-02 09:30:43+00:00,TRUE,Yes,no,,,,,,,,
290,RephQA: Evaluating Readability of Large Language Models in Public Health Question Answering,https://arxiv.org/pdf/2509.16360v2,2025-09-19 19:09:42+00:00,TRUE,Yes,no,,,,,,,,
291,"From AutoRecSys to AutoRecLab: A Call to Build, Evaluate, and Govern Autonomous Recommender-Systems Research Labs",https://arxiv.org/pdf/2510.18104v1,2025-10-20 20:58:50+00:00,TRUE,No,,,,,,,,,
292,BioBlue: Systematic runaway-optimiser-like LLM failure modes on biologically and economically aligned AI safety benchmarks for LLMs with simplified observation format,https://arxiv.org/pdf/2509.02655v2,2025-09-02 15:13:14+00:00,TRUE,Yes,no,,,,,,,,
293,Pruning Minimal Reasoning Graphs for Efficient Retrieval-Augmented Generation,https://arxiv.org/pdf/2602.04926v1,2026-02-04 08:48:11+00:00,TRUE,Yes,no,,,,,,,,
294,Towards Fair and Comprehensive Evaluation of Routers in Collaborative LLM Systems,https://arxiv.org/pdf/2602.11877v1,2026-02-12 12:28:27+00:00,TRUE,Yes,yes,no,,,,,,,
